Num_expediente,Tipo_accidente
2015S001915,Colisión fronto-lateral
2015S008519,Colisión lateral
2015S003849,Caída (dos ruedas)
2015S008565,Alcance
2015S001116,Atropello
2015S000591,Otros
2015S000691,Atropello
2015S000941,Colisión fronto-lateral
2015S008857,Caída interior vehículo
2015S001989,Alcance
2015S002715,Alcance
2015S009212,Caída (dos ruedas)
2015S008264,Caída (dos ruedas)
2015S009602,Colisión fronto-lateral
2015S004961,Colisión lateral
2015S004123,Colisión lateral
2015S005661,Alcance
2015S001278,Colisión lateral
2015S005653,Caída (dos ruedas)
2015S004245,Colisión lateral
2015S009704,Colisión fronto-lateral
2015S003220,Alcance
2015S009174,Alcance
2015S002949,Caída interior vehículo
2015S004958,Colisión fronto-lateral
2015S004548,Alcance
2015S008303,Alcance
2015S000046,Alcance
2015S009671,Caída interior vehículo
2015S004496,Alcance
2015S009169,Alcance multiple
2015S007932,Colisión lateral
2015S004054,Colisión lateral
2015S007420,Colisión lateral
2015S007334,Caída (dos ruedas)
2015S004240,Caída (dos ruedas)
2015S003441,Colisión lateral
2015S009245,Colisión fronto-lateral
2015S006027,Colisión lateral
2015S000997,Colisión lateral
2015S009377,Alcance multiple
2015S005092,Alcance
2015S003780,Alcance
2015S004639,Colisión lateral
2015S003982,Colisión fronto-lateral
2015S005343,Colisión frontal
2015S008233,Colisión lateral
2015S000928,Colisión fronto-lateral
2015S005238,Caída (dos ruedas)
2015S008856,Alcance
2015S003129,Colisión fronto-lateral
2015S007966,Colisión lateral
2015S004776,Colisión fronto-lateral
2015S001572,Caída interior vehículo
2015S003003,Alcance
2015S008909,Atropello
2015S005755,Choque contra elemento estático
2015S003946,Caída (dos ruedas)
2015S004072,Colisión lateral
2015S000459,Colisión fronto-lateral
2015S003927,Colisión fronto-lateral
2015S000603,Atropello
2015S002367,Colisión lateral
2015S000906,Alcance multiple
2015S005211,Alcance
2015S003696,Colisión fronto-lateral
2015S001369,Otros
2015S001717,Caída interior vehículo
2015S003709,Colisión fronto-lateral
2015S001275,Colisión fronto-lateral
2015S005626,Atropello
2015S003051,Alcance
2015S002262,Alcance
2015S001246,Colisión fronto-lateral
2015S000428,Colisión fronto-lateral
2015S004593,Colisión lateral
2015S005911,Colisión fronto-lateral
2015S004706,Colisión lateral
2015S004944,Colisión lateral
2015S005721,Colisión fronto-lateral
2015S003254,Otros
2015S001835,Alcance
2015S006123,Caída (dos ruedas)
2015S002793,Colisión lateral
2015S004246,Caída interior vehículo
2015S003692,Colisión fronto-lateral
2015S006622,Choque contra elemento estático
2015S005353,Colisión fronto-lateral
2015S009576,Alcance
2015S009433,Caída (dos ruedas)
2015S009612,Alcance
2015S004808,Colisión fronto-lateral
2015S004751,Colisión lateral
2015S001746,Alcance
2015S006382,Colisión lateral
2015S005933,Colisión fronto-lateral
2015S001211,Choque contra elemento estático
2015S005165,Choque contra elemento estático
2015S000503,Colisión lateral
2015S006870,Alcance
2015S006392,Alcance
2015S004318,Otros
2015S004327,Alcance
2015S007689,Colisión frontal
2015S000568,Choque contra elemento estático
2015S005804,Otros
2015S000732,Choque contra elemento estático
2015S005436,Otros
2015S006610,Alcance multiple
2015S004918,Alcance multiple
2015S002747,Alcance
2015S009779,Colisión frontal
2015S007256,Alcance
2015S005460,Caída interior vehículo
2015S008244,Choque contra elemento estático
2015S008103,Choque contra elemento estático
2015S004731,Otros
2015S003360,Colisión lateral
2015S008494,Caída (dos ruedas)
2015S001672,Colisión fronto-lateral
2015S009163,Colisión fronto-lateral
2015S003176,Colisión lateral
2015S008709,Alcance
2015S008418,Colisión lateral
2015S009363,Colisión lateral
2015S000232,Colisión fronto-lateral
2015S004512,Colisión fronto-lateral
2015S002282,Atropello
2015S002633,Colisión fronto-lateral
2015S005087,Alcance
2015S006666,Alcance
2015S009211,Alcance
2015S002482,Colisión lateral
2015S008550,Alcance
2015S007551,Choque contra elemento estático
2015S002296,Caída (dos ruedas)
2015S004466,Caída (dos ruedas)
2015S007158,Choque contra elemento estático
2015S003315,Alcance
2015S003315,Colisión lateral
2015S009864,Alcance multiple
2015S005526,Caída (dos ruedas)
2015S008249,Colisión fronto-lateral
2015S009556,Alcance
2015S008893,Alcance
2015S001993,Alcance multiple
2015S000922,Caída (dos ruedas)
2015S004168,Choque contra elemento estático
2015S000089,Choque contra elemento estático
2015S001123,Colisión lateral
2015S000462,Otros
2015S002279,Colisión fronto-lateral
2015S004669,Colisión fronto-lateral
2015S001335,Colisión fronto-lateral
2015S007141,Colisión lateral
2015S008338,Colisión fronto-lateral
2015S003126,Colisión fronto-lateral
2015S000666,Alcance
2015S004505,Alcance
2015S004926,Alcance multiple
2015S008036,Colisión fronto-lateral
2015S009992,Alcance
2015S001339,Colisión lateral
2015S002243,Alcance
2015S001945,Colisión lateral
2015S005264,Caída (dos ruedas)
2015S006727,Choque contra elemento estático
2015S009692,Alcance
2015S000180,Alcance
2015S008749,Atropello
2015S004711,Colisión lateral
2015S004789,Choque contra elemento estático
2015S004789,Colisión fronto-lateral
2015S005671,Colisión fronto-lateral
2015S002834,Colisión lateral
2015S004508,Colisión fronto-lateral
2015S001163,Colisión fronto-lateral
2015S001182,Colisión fronto-lateral
2015S000471,Atropello
2015S001311,Colisión fronto-lateral
2015S007654,Colisión lateral
2015S004622,Colisión lateral
2015S003736,Caída interior vehículo
2015S001752,Colisión fronto-lateral
2015S005798,Alcance
2015S003297,Colisión lateral
2015S008549,Colisión lateral
2015S002038,Colisión lateral
