Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S002826,"Camión <= 3,5 Tm",ATLEON 110,NISSAN,Blanco,C,4
2015S005455,Turismo,POLO,VOLKSWAGEN,Gris,B,24
2015S003488,Turismo,Desconocido,VOLKSWAGEN,Desconocido,Desconocido,Desconocido
2015S004678,Taxi,PRIUS,TOYOTA,Negro/Amarillo,BTP,8
2015S008226,Turismo,307,PEUGEOT,Gris,Desconocido,Desconocido
2015S006149,Furgoneta,TRANSPORTER,VOLKSWAGEN,Gris,Desconocido,Desconocido
2015S005345,Turismo,PASSAT,VOLKSWAGEN,Azul,B,3
2015S003050,Turismo,FOCUS,FORD,Negro,B,3
2015S005041,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S006248,Bicicleta,Desconocido,BICING,Blanco,Desconocido,Desconocido
2015S005417,Bicicleta,ROCKRIDER,DECATHLON,Negro,Desconocido,Desconocido
2015S008660,Bicicleta,Desconocido,Desconocido,Negro,Desconocido,Desconocido
2015S003890,Motocicleta,R 1150,BMW,Negro/Amarillo,A,36
2015S004907,Motocicleta,SCARABEO 65,APRILIA,granate,B,6
2015S004839,Motocicleta,FZ750,YAMAHA,Negro,A,36
2015S003098,Turismo,A4,AUDI,Plateado,B,26
2015S005285,Turismo,AVENSIS,TOYOTA,Azul,B,2
2015S002544,Turismo,ASTRA,OPEL,Gris,B,26
2015S008102,Turismo,FOCUS,FORD,Azul,B,4
2015S008257,Taxi,ZAFIRA,OPEL,Otros,BTP,3
2015S001429,Turismo,GOLF,VOLKSWAGEN,Azul,B,1
